ResponseID,age,gender,whereareyoufrom,timelisteningtomusic,genderrep,idealgenderrep,menrep,womenrep,lyrics,misogynistlyrics,feministlyrics,genderrepimportant,politicallyrics,condition,Q1,Q2,Q3,Q4,Q5,Q6,Q7,The_man,Roar,NotReady_TMN,Strongeer,YouDont_om,Ladies_first,GoodOl_BC,KeepYa_HU,Grown_woman,Venom,TheLucky_one,LastFriday_night,WideOpen_spaces,Work_bitch,ThePartys_over,Detrim_stable,Rainbow,Ghetto_gospel,Schoolin_life,Introvert
R_3EKG1NUaLsJd8Xg,2,Male,1,2,7,7,1,1,5,3,3,1,5,Feminist Condition,3.6,5.4,3.6,3.8,4.6,3.2,3.2,NA,4.428571429,4.857142857,NA,NA,2.142857143,4.714285714,NA,3.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1mOUzbiwlRAbOCy,2,Female,1,3,2,7,2,5,5,6,6,6,5,Feminist Condition,5.2,4.6,4.4,3.8,5.2,6,5,3.857142857,NA,NA,NA,4.142857143,3.857142857,NA,5.142857143,4.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2B8qqKI26zJfWjo,2,Male,1,3,4,3,2,2,6,5,3,1,7,Neutral Condition,4.2,3.6,2,2,3.6,5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.142857143,NA,NA,2.857142857,NA,3.142857143,3.285714286,2.857142857,NA
R_3jcBm9ErstnQM50,2,Female,1,4,2,7,4,4,6,3,4,5,5,Neutral Condition,4.6,3.8,3.4,3.6,3.6,4.2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571428571,3.428571429,NA,NA,3.142857143,4.714285714,NA,NA,NA,4.142857143
R_2ylLRUgCBBbu9Bs,2,Female,1,2,2,7,1,6,6,6,6,6,5,Feminist Condition,4.6,5.6,4.2,5,5.8,3.4,5.6,NA,5,4,5.714285714,NA,NA,4.428571429,NA,NA,5.285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_10MFlOlgevKqRxs,2,Female,1,2,5,7,2,2,5,6,4,4,2,Neutral Condition,3.8,4.4,4,3.6,3.6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,3.714285714,3.857142857,NA,NA,4
R_3EWM2NyvIuZemfW,2,Female,1,4,6,3,1,1,6,5,5,2,3,Neutral Condition,4.4,4.8,4.6,3.8,4.6,2.6,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.571428571,5,NA,NA,2.714285714,NA,NA,4.571428571,3.571428571,NA
R_27paUZhx89h9PIr,2,Female,5,1,4,6,2,2,6,5,5,5,4,Feminist Condition,5.4,5.2,4,4.4,4.2,1.8,6.2,4.285714286,NA,3.714285714,NA,NA,NA,NA,5.428571429,4.428571429,4.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2tJOp5tTwTFztiG,3,Male,1,1,5,6,3,5,2,5,2,3,2,Feminist Condition,4.4,4.2,4.4,3.2,5,6,3.4,3.285714286,NA,NA,4,4.714285714,NA,NA,4.142857143,NA,2.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2sSX1ntrQROZKkf,2,Female,1,4,3,7,2,3,6,5,5,2,3,Feminist Condition,4.8,3.4,3.6,3.8,5.2,2.8,3.6,NA,3,NA,3.428571429,4.857142857,4.571428571,3.571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
